"","Gender","Residence","Nationality","MTurkID","task_comp_check1","task_comp_check2","task_comp_check3","timing_ctrl1a_Page.Submit","timing_ctrl1b_Page.Submit","timing_ctrl2a_Page.Submit","timing_ctrl2b_Page.Submit","timing_ctrl3a_Page.Submit","timing_ctrl3b_Page.Submit","timing_ctrl4a_Page.Submit","timing_ctrl4b_Page.Submit","timing_ctrl5a_Page.Submit","timing_ctrl5b_Page.Submit","prep_timing1a_Page.Submit","prep_timing1b_Page.Submit","prep_timing2a_Page.Submit","prep_timing2b_Page.Submit","prep_timing3a_Page.Submit","prep_timing3b_Page.Submit","prep_timing4a_Page.Submit","prep_timing4b_Page.Submit","prep_timing5a_Page.Submit","prep_timing5b_Page.Submit","prep_timing6a_Page.Submit","prep_timing6b_Page.Submit","prep_timing7a_Page.Submit","prep_timing7b_Page.Submit","prep_timing8a_Page.Submit","prep_timing8b_Page.Submit","prep.timing9a_Page.Submit","prep.timing9b_Page.Submit","prep.timing10a_Page.Submit","prep.timing10b_Page.Submit","prep_timing11_Page.Submit","prep.tming11b_Page.Submit","prep.timing12a_Page.Submit","prep.timing12b_Page.Submit","Comp_check_PR1","comp_check_PR2","Comp_check_comp1","Comp_check_comp2","Comp_check_comp3","Comp_check_comp4","choice_tourn_first2","choice_PR_first2","extra_prep1","extra.prep2","extraprep3","extraprep4","extraprep5","conf_rank","gender_perform","task_gender_prep","gender_compete","risk","preparedness","gen_gender_prep","fatigue_1","fatigue_2","fab_1","fab_2","fab_3","fab_4","fab_5","fab_6","interest","Age","Race.ethnicity","Race.ethnicity_7_TEXT","ownincome","education","unclear","Condition","score_before_task","unlimited_prep_score","taskscore.x","task_comp_check_acc","pay_comp_check_acc","n_comp_wrong","extra_prep_count","comp_choice","total_time","time_qs","perf_fixed","extraprep_count_time","perf_extra","fab","fati","bonus_assn","bonus_qs","percent_rank","conf_accuracy","taskscore.y","PR_pay","taskscore","difference_score","W_L","tourn_payment","combined_pay","total_bonus"
"11","Male","United States","American","A1PTX4IB9R34LI","48","","",12.182,2.167,11.638,1.162,12.011,0.81,19.233,1.189,13.766,1.215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$1.20 ","$14 ","$2 ","$28 ","$24 ","$0 ","Tournament (where you will earn $.20 for every problem solved correctly only if you win)","","No","","","","",0.5,"Men","Men","Women",5,"No","Men",1,1,5,4,3,3,4,5,6,38,"White/Caucasian","","$30,000 to $40,000","Bachelor's Degree","","Control",5,NA,25,0,6,6,0,"Tournament",75.373,68.83,0.0726427429899753,0,NA,4,1,2,0,0.0995121951219512,"incorrect",NA,NA,NA,NA,NA,NA,0,0
"12","Female","United States","American","A324KCBTOD3P6Y","48","","",13.052,2.349,11.76,1.072,11.614,1.187,9.362,1.061,11.447,0.891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$1.20 ","$14 ","$24 ","","$0 ","","Piece-rate (where you will earn $.10 for every problem solved correctly)","","No","","","","",0.7,"Women","Women","Men",3,"No","Women",5,5,5,3,5,2,2,2,6,38,"White/Caucasian","","$30,000 to $40,000","Graduate Degree","","Control",4,NA,48,0,4,4,0,"Piece-rate",63.795,57.235,0.0698873067179174,0,NA,3.16666666666667,5,2,0.1,0.536585365853659,"incorrect",48,4.8,NA,NA,NA,NA,4.8,4.9
"13","Male","United States","American","A3IR7DFEKLLLO","48","","",9.365,1.309,6.968,1.138,7.364,1.046,7.425,0.951,7.7805,1.121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$12 ","","$24 ","","$0 ","","Piece-rate (where you will earn $.10 for every problem solved correctly)","","No","","","","",0.8,"Men","Women","Men",6,"No","Women",2,2,5,5,5,2,5,2,5,42,"White/Caucasian","","$20,000 to $30,000","Bachelor's Degree","","Control",5,NA,95,0,3,3,0,"Piece-rate",44.4675,38.9025,0.128526444315918,0,NA,4,2,1,0.1,0.969756097560976,"correct",95,9.5,NA,NA,NA,NA,9.5,9.6
"14","Male","United States","American","A50MSA1JBX8XG","48","","",13.362,1.949,10.644,0.803,12.117,0.726,9.386,1.16,11.37725,1.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$12 ","","$24 ","","$0 ","","","Piece-rate (where you will earn $.10 for every problem solved correctly)","No","","","","",0.6,"Women","Women","Men",5,"No","Women",4,4,5,4,1,4,4,6,4,29,"White/Caucasian","","$80,000 to $90,000","Some College","","Control",5,NA,44,0,3,3,0,"Piece-rate",62.54825,56.88625,0.0878947021468281,0,NA,4,4,1,0,0.460487804878049,"incorrect",44,4.4,NA,NA,NA,NA,4.4,4.4
"15","Male","United States","American","A12XZS7F5VWTHN","48","","",15.4,2.135,12.658,1.439,17.338,1.236,13.805,1.332,14.80025,0.838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$12 ","","$24 ","","$0 ","","","Piece-rate (where you will earn $.10 for every problem solved correctly)","No","","","","",0.7,"Men","Men","Men",7,"No","Men",3,3,6,6,4,3,5,5,6,33,"White/Caucasian","","$100,000 to $200,00","Bachelor's Degree","","Control",3,NA,53,0,3,3,0,"Piece-rate",80.98125,74.00125,0.04053985574568,0,NA,4.83333333333333,3,3,0.1,0.635121951219512,"incorrect",53,5.3,NA,NA,NA,NA,5.3,5.4
"16","Male","United States","American","A1FYMTQ3YSEOQ9","48","","",13.364,11.909,14.993,0.826,14.922,0.855,11.846,0.791,13.78125,1.286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$12 ","","$24 ","","$0 ","","Piece-rate (where you will earn $.10 for every problem solved correctly)","","No","","","","",0.7,"Men","Women","Men",4,"No","Women",1,1,2,4,2,2,3,2,1,28,"Black/African-American","","$40,000 to $50,000","Bachelor's Degree","","Control",4,NA,77,0,3,3,0,"Piece-rate",84.57325,68.90625,0.0580498866213152,0,NA,2.5,1,2,0.1,0.903414634146342,"correct",77,7.7,NA,NA,NA,NA,7.7,7.8
"17","Male","United States","American","A2RCYLKY072XXO","48","","",15.196,1.919,12.673,1.833,15.891,1.47,14.237,1.744,14.49925,1.533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$12 ","","$24 ","","$0 ","","Piece-rate (where you will earn $.10 for every problem solved correctly)","","No","","","","",0.6,"Women","Women","Men",4,"No","Women",1,1,1,1,2,2,1,4,3,38,"East Asian","","$30,000 to $40,000","Bachelor's Degree","","Control",5,NA,51,0,3,3,0,"Piece-rate",80.99525,72.49625,0.0689690846078245,0,NA,1.83333333333333,1,1,0,0.594146341463415,"incorrect",51,5.1,NA,NA,NA,NA,5.1,5.1
"18","Female","United States","American","A3TRHAG4OHCNHD","48","","",15.703,2.16,12.318,1.16,13.601,1.036,13.085,10.945,13.67675,10.596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$12 ","","$24 ","","$0 ","","","Piece-rate (where you will earn $.10 for every problem solved correctly)","No","","","","",0.4,"Women","Women","Women",3,"No","Women",2,2,2,1,2,2,2,2,1,26,"White/Caucasian","","$90,000 to $100,000","Bachelor's Degree","","Control",4,NA,31,0,3,3,0,"Piece-rate",94.28075,68.38375,0.0584934286288775,0,NA,1.83333333333333,2,2,0.1,0.19609756097561,"incorrect",31,3.1,NA,NA,NA,NA,3.1,3.2
"19","Female","United States","American","A1178K7BRHRNW8","48","","",17.376,1.855,16.809,15.725,15.561,2.965,15.155,1.575,16.22525,1.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$12 ","","$24 ","","$0 ","","","Piece-rate (where you will earn $.10 for every problem solved correctly)","No","","","","",0.5,"Men","Men","Men",2,"No","Women",4,5,6,6,6,4,6,4,5,55,"White/Caucasian","","$100,000 to $200,00","Bachelor's Degree","no","Control",4,NA,78,0,3,3,0,"Piece-rate",104.51625,81.12625,0.0493058658572287,0,NA,5.33333333333333,4.5,1,0.1,0.907317073170732,"correct",78,7.8,NA,NA,NA,NA,7.8,7.9
"20","Female","United States","American","A11FFJZ0C984W4","48","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.975,5.045,6.451,1.649,7.762,7.634,8.265,2.321,7.921,2.161,10.951,5.502,8.309,1.497,9.267,2.347,12.083,1.642,8.542,5.468,7.549,1.338,11.633,1.686,"$12 ","","$24 ","","$0 ","","","Piece-rate (where you will earn $.10 for every problem solved correctly)","No","","","","",0.8,"Men","Women","Men",1,"No","Women",2,2,3,3,2,2,3,3,5,26,"White/Caucasian","","$10,000 to $20,000","Bachelor's Degree","","Prepare",57,NA,96,0,3,3,0,"Piece-rate",143.998,105.708,0.539221250993302,0,NA,2.66666666666667,2,3,0.1,0.973658536585366,"correct",96,9.6,NA,NA,NA,NA,9.6,9.7
"21","Female","United States","American","A2YVC1U50H2B4R","48","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.614,1.145,6.775,1.209,16.595,1.085,16.68,3.569,13.462,1.161,16.218,1.932,18.595,1.058,20.869,1.468,15.463,3.084,6.935,1.104,13.327,1.277,20.094,1.19,"$1.20 ","$14 ","$24 ","","$0 ","","Piece-rate (where you will earn $.10 for every problem solved correctly)","","No","","","","",0.5,"Women","Women","Men",3,"No","Women",2,2,1,1,1,1,1,1,3,31,"White/Caucasian","","$10,000 to $20,000","Bachelor's Degree","","Prepare",56,NA,56,0,4,4,0,"Piece-rate",190.909,171.627,0.326288987164024,0,NA,1,2,4,0.1,0.689756097560976,"correct",56,5.6,NA,NA,NA,NA,5.6,5.7
"22","Female","United States","American","A1X2NKYJNHB1A5","48","","",26.159,2.702,15.397,1.118,22.524,1.678,14.813,1.077,19.72325,1.281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$1.20 ","$14 ","$24 ","","$0 ","","Piece-rate (where you will earn $.10 for every problem solved correctly)","","No","","","","",0,"Men","Women","Men",3,"No","Women",4,4,2,3,3,2,3,3,4,43,"White/Caucasian","","$30,000 to $40,000","Some College","","Control",4,NA,57,0,4,4,0,"Piece-rate",106.47225,98.61625,0.0405612665255473,0,NA,2.66666666666667,4,1,0.1,0.705365853658537,"correct",57,5.7,NA,NA,NA,NA,5.7,5.8
"23","Female","United States","American","A12NX2SPUAKUNF","48","","",17.411,2.607,15.524,1.211,15.4,1.05,14.874,1.648,15.80225,1.593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$12 ","","$24 ","","$0 ","","","Piece-rate (where you will earn $.10 for every problem solved correctly)","No","","","","",0.2,"Women","Women","Men",1,"No","Women",5,5,5,5,5,4,5,3,5,29,"White/Caucasian","","$20,000 to $30,000","Bachelor's Degree","No","Control",5,NA,59,0,3,3,0,"Piece-rate",87.12025,79.01125,0.0632821275451281,0,NA,4.5,5,4,0.1,0.728780487804878,"correct",59,5.9,NA,NA,NA,NA,5.9,6
"24","Female","United States","American","A1T79J0XQXDDGC","48","","",11.491,1.177,10.677,1.441,10.977,1.211,13.979,1.477,11.781,1.426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$12 ","","$24 ","","$0 ","","Piece-rate (where you will earn $.10 for every problem solved correctly)","","No","","","","",0.3,"Women","Women","Men",2,"No","Women",2,2,7,6,2,3,7,7,2,34,"White/Caucasian","","$10,000 to $20,000","High School Diploma","no","Control",5,NA,43,0,3,3,0,"Piece-rate",65.637,58.905,0.0848824378236143,0,NA,5.33333333333333,2,1,0,0.433170731707317,"correct",43,4.3,NA,NA,NA,NA,4.3,4.3
"25","Female","United States","American","A12XMUO7UW08EK","48","","",20.212,3.99,12.295,2.225,15.877,2.397,10.894,1.767,14.8195,1.533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$12 ","","$24 ","","$0 ","","","Piece-rate (where you will earn $.10 for every problem solved correctly)","No","","","","",0.8,"Women","Women","Men",0,"No","Women",5,5,6,5,5,4,6,6,5,52,"Black/African-American","","$50,000 to $60,000","Bachelor's Degree","","Control",5,NA,61,0,3,3,0,"Piece-rate",86.0095,74.0975,0.0674786598738149,0,NA,5.33333333333333,5,4,0,0.758048780487805,"incorrect",61,6.1,NA,NA,NA,NA,6.1,6.1
"26","Female","United States","American","AGEU3VFG2D6HY","48","","",22.351,2.471,19.978,1.898,18.536,1.917,15.758,1.914,19.15575,1.369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$1.20 ","$14 ","$24 ","","$0 ","","Piece-rate (where you will earn $.10 for every problem solved correctly)","","No","","","","",0.5,"Men","Women","Men",4,"No","Women",2,2,5,5,3,5,5,2,5,41,"White/Caucasian","","Less than $10,000","Bachelor's Degree","","Control",5,NA,53,0,4,4,0,"Piece-rate",105.34775,95.77875,0.0522036464247028,0,NA,4.16666666666667,2,3,0.1,0.635121951219512,"correct",53,5.3,NA,NA,NA,NA,5.3,5.4
"27","Female","United States","American","AXFB4XBUKNE07","48","","",35.885,2.254,26.047,1.567,18.292,1.433,19.523,1.421,24.93675,1.617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$1.20 ","$14 ","$24 ","","$0 ","","Piece-rate (where you will earn $.10 for every problem solved correctly)","","No","","","","",0.5,"Women","Women","Men",3,"Yes","Women",5,5,5,5,5,5,5,3,5,33,"White/Caucasian","","Less than $10,000","Bachelor's Degree","","Control",5,NA,48,0,4,4,0,"Piece-rate",132.97575,124.68375,0.0401014566854141,0,NA,4.66666666666667,5,1,0,0.536585365853659,"correct",48,4.8,NA,NA,NA,NA,4.8,4.8
"28","Male","United States","American","A1JVWOBGNA6KJT","48","","",20.679,1.393,23.625,0.729,17.296,0.672,16.976,0.738,19.644,1.234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$12 ","","$24 ","","$0 ","","","Tournament (where you will earn $.20 for every problem solved correctly only if you win)","No","","","","",0.3,"Women","Women","Men",5,"No","Women",2,2,2,2,2,2,2,3,6,53,"White/Caucasian","","$50,000 to $60,000","Vocational Training","","Control",5,NA,60,0,3,3,0,"Tournament",102.986,98.22,0.0509061290979434,0,NA,2.16666666666667,2,4,0.1,0.739512195121952,"correct",NA,NA,NA,NA,NA,NA,0,0.1
"29","Male","United States","American","A17MUXOICSH29I","48","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.162,4.557,9.439,2.635,9.905,1.222,15.657,1.875,10.372,1.904,10.589,1.488,14.379,1.031,11.062,1.406,14.537,4.304,10.59,2.822,16.927,1.672,17.119,2.139,"$12 ","","$24 ","","$0 ","","Piece-rate (where you will earn $.10 for every problem solved correctly)","","No","","","","",0.8,"Men","Women","Men",4,"No","Women",3,3,6,6,4,4,5,5,6,27,"White/Caucasian","","$50,000 to $60,000","Bachelor's Degree","Nothing unclear, good study!! ","Prepare",57,NA,86,0,3,3,0,"Piece-rate",177.793,150.738,0.378139553397285,0,NA,5,3,4,0.1,0.94439024390244,"correct",86,8.6,NA,NA,NA,NA,8.6,8.7
"30","Male","United States","American","A38IDQ8FIODN3M","48","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.374,0.875,10.77,0.779,11.827,1.434,15.04,0.856,13.248,1.05,16.143,2.731,23.939,1.087,16.187,0.685,29.769,0.567,13.866,0.654,15.984,1.078,33.773,3.669,"$12 ","","$24 ","","$24 ","$0 ","Piece-rate (where you will earn $.10 for every problem solved correctly)","","No","","","","",0.6,"Men","Men","Men",6,"Yes","Men",5,5,5,4,4,4,6,5,7,34,"White/Caucasian","","$30,000 to $40,000","Vocational Training","","Prepare",54,NA,47,0,4,4,0,"Piece-rate",224.385,208.92,0.25847214244687,0,NA,4.66666666666667,5,2,0,0.521951219512195,"incorrect",47,4.7,NA,NA,NA,NA,4.7,4.7
"31","Female","United States","American","A26ZENZ5G8AEGM","48","","",25.204,6.109,21.758,6.371,25.084,3.27,20.363,4.106,23.10225,3.218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$12 ","","$24 ","","$0 ","","Piece-rate (where you will earn $.10 for every problem solved correctly)","","No","","","","",0.5,"Men","Women","Men",0,"No","Women",2,2,2,2,3,2,2,2,2,60,"White/Caucasian","","$20,000 to $30,000","Graduate Degree","","Control",4,NA,52,0,3,3,0,"Piece-rate",138.58525,115.51125,0.0346286617104395,0,NA,2.16666666666667,2,3,0.1,0.616585365853659,"correct",52,5.2,NA,NA,NA,NA,5.2,5.3
"32","Female","United States","American","A1SPUUUCSKRT4J","36","2","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.434,2.086,11.342,1.086,11.675,1.278,19.538,1.285,12.579,1.412,12.386,1.485,16.645,1.305,20.627,2.847,13.153,1.753,12.366,2.138,18.631,3.22,16.361,1.549,"$1.20 ","$14 ","$24 ","","$0 ","","Tournament (where you will earn $.20 for every problem solved correctly only if you win)","","No","","","","",0.7,"Women","Women","Men",5,"No","Women",3,3,5,4,5,4,5,4,7,19,"White/Caucasian","","Less than $10,000","Some College","no","Prepare",55,NA,54,1,4,5,0,"Tournament",195.181,173.737,0.31657044843643,0,NA,4.5,3,2,0.1,0.653658536585366,"incorrect",NA,NA,NA,NA,NA,NA,0,0.1
