V1,V2
14_Q2640,8 - 7 - What is the answer to [Field-10]?
14_Q2641,
15_Q2631,8 - 8 - What is the answer to [Field-1]?
15_Q2632,8 - 8 - What is the answer to [Field-2]?
15_Q2633,8 - 8 - What is the answer to [Field-3]?
15_Q2634,8 - 8 - What is the answer to [Field-4]?
15_Q2635,8 - 8 - What is the answer to [Field-5]?
15_Q2636,8 - 8 - What is the answer to [Field-6]?
15_Q2637,8 - 8 - What is the answer to [Field-7]?
15_Q2638,8 - 8 - What is the answer to [Field-8]?
15_Q2639,8 - 8 - What is the answer to [Field-9]?
15_Q2640,8 - 8 - What is the answer to [Field-10]?
15_Q2641,
16_Q2631,12 - 11 - What is the answer to [Field-1]?
16_Q2632,12 - 11 - What is the answer to [Field-2]?
16_Q2633,12 - 11 - What is the answer to [Field-3]?
16_Q2634,12 - 11 - What is the answer to [Field-4]?
16_Q2635,12 - 11 - What is the answer to [Field-5]?
16_Q2636,12 - 11 - What is the answer to [Field-6]?
16_Q2637,12 - 11 - What is the answer to [Field-7]?
16_Q2638,12 - 11 - What is the answer to [Field-8]?
16_Q2639,12 - 11 - What is the answer to [Field-9]?
16_Q2640,12 - 11 - What is the answer to [Field-10]?
16_Q2641,
17_Q2631,7 - 5 - What is the answer to [Field-1]?
17_Q2632,7 - 5 - What is the answer to [Field-2]?
17_Q2633,7 - 5 - What is the answer to [Field-3]?
17_Q2634,7 - 5 - What is the answer to [Field-4]?
17_Q2635,7 - 5 - What is the answer to [Field-5]?
17_Q2636,7 - 5 - What is the answer to [Field-6]?
17_Q2637,7 - 5 - What is the answer to [Field-7]?
17_Q2638,7 - 5 - What is the answer to [Field-8]?
17_Q2639,7 - 5 - What is the answer to [Field-9]?
17_Q2640,7 - 5 - What is the answer to [Field-10]?
17_Q2641,
18_Q2631,14 - 10 - What is the answer to [Field-1]?
18_Q2632,14 - 10 - What is the answer to [Field-2]?
18_Q2633,14 - 10 - What is the answer to [Field-3]?
18_Q2634,14 - 10 - What is the answer to [Field-4]?
18_Q2635,14 - 10 - What is the answer to [Field-5]?
18_Q2636,14 - 10 - What is the answer to [Field-6]?
18_Q2637,14 - 10 - What is the answer to [Field-7]?
18_Q2638,14 - 10 - What is the answer to [Field-8]?
18_Q2639,14 - 10 - What is the answer to [Field-9]?
18_Q2640,14 - 10 - What is the answer to [Field-10]?
18_Q2641,
19_Q2631,15 - 8 - What is the answer to [Field-1]?
19_Q2632,15 - 8 - What is the answer to [Field-2]?
19_Q2633,15 - 8 - What is the answer to [Field-3]?
19_Q2634,15 - 8 - What is the answer to [Field-4]?
19_Q2635,15 - 8 - What is the answer to [Field-5]?
19_Q2636,15 - 8 - What is the answer to [Field-6]?
19_Q2637,15 - 8 - What is the answer to [Field-7]?
19_Q2638,15 - 8 - What is the answer to [Field-8]?
19_Q2639,15 - 8 - What is the answer to [Field-9]?
19_Q2640,15 - 8 - What is the answer to [Field-10]?
19_Q2641,
20_Q2631,2 - 2 - What is the answer to [Field-1]?
20_Q2632,2 - 2 - What is the answer to [Field-2]?
20_Q2633,2 - 2 - What is the answer to [Field-3]?
20_Q2634,2 - 2 - What is the answer to [Field-4]?
20_Q2635,2 - 2 - What is the answer to [Field-5]?
20_Q2636,2 - 2 - What is the answer to [Field-6]?
20_Q2637,2 - 2 - What is the answer to [Field-7]?
20_Q2638,2 - 2 - What is the answer to [Field-8]?
20_Q2639,2 - 2 - What is the answer to [Field-9]?
20_Q2640,2 - 2 - What is the answer to [Field-10]?
20_Q2641,
21_Q2631,10 - 5 - What is the answer to [Field-1]?
21_Q2632,10 - 5 - What is the answer to [Field-2]?
21_Q2633,10 - 5 - What is the answer to [Field-3]?
21_Q2634,10 - 5 - What is the answer to [Field-4]?
21_Q2635,10 - 5 - What is the answer to [Field-5]?
21_Q2636,10 - 5 - What is the answer to [Field-6]?
21_Q2637,10 - 5 - What is the answer to [Field-7]?
21_Q2638,10 - 5 - What is the answer to [Field-8]?
21_Q2639,10 - 5 - What is the answer to [Field-9]?
21_Q2640,10 - 5 - What is the answer to [Field-10]?
21_Q2641,
22_Q2631,17 - 12 - What is the answer to [Field-1]?
22_Q2632,17 - 12 - What is the answer to [Field-2]?
22_Q2633,17 - 12 - What is the answer to [Field-3]?
22_Q2634,17 - 12 - What is the answer to [Field-4]?
22_Q2635,17 - 12 - What is the answer to [Field-5]?
22_Q2636,17 - 12 - What is the answer to [Field-6]?
22_Q2637,17 - 12 - What is the answer to [Field-7]?
22_Q2638,17 - 12 - What is the answer to [Field-8]?
22_Q2639,17 - 12 - What is the answer to [Field-9]?
22_Q2640,17 - 12 - What is the answer to [Field-10]?
22_Q2641,
23_Q2631,9 - 4 - What is the answer to [Field-1]?
23_Q2632,9 - 4 - What is the answer to [Field-2]?
23_Q2633,9 - 4 - What is the answer to [Field-3]?
23_Q2634,9 - 4 - What is the answer to [Field-4]?
23_Q2635,9 - 4 - What is the answer to [Field-5]?
23_Q2636,9 - 4 - What is the answer to [Field-6]?
23_Q2637,9 - 4 - What is the answer to [Field-7]?
23_Q2638,9 - 4 - What is the answer to [Field-8]?
23_Q2639,9 - 4 - What is the answer to [Field-9]?
23_Q2640,9 - 4 - What is the answer to [Field-10]?
23_Q2641,
24_Q2631,17 - 10 - What is the answer to [Field-1]?
24_Q2632,17 - 10 - What is the answer to [Field-2]?
24_Q2633,17 - 10 - What is the answer to [Field-3]?
24_Q2634,17 - 10 - What is the answer to [Field-4]?
24_Q2635,17 - 10 - What is the answer to [Field-5]?
24_Q2636,17 - 10 - What is the answer to [Field-6]?
24_Q2637,17 - 10 - What is the answer to [Field-7]?
24_Q2638,17 - 10 - What is the answer to [Field-8]?
24_Q2639,17 - 10 - What is the answer to [Field-9]?
24_Q2640,17 - 10 - What is the answer to [Field-10]?
24_Q2641,
25_Q2631,8 - 1 - What is the answer to [Field-1]?
25_Q2632,8 - 1 - What is the answer to [Field-2]?
25_Q2633,8 - 1 - What is the answer to [Field-3]?
25_Q2634,8 - 1 - What is the answer to [Field-4]?
25_Q2635,8 - 1 - What is the answer to [Field-5]?
25_Q2636,8 - 1 - What is the answer to [Field-6]?
25_Q2637,8 - 1 - What is the answer to [Field-7]?
25_Q2638,8 - 1 - What is the answer to [Field-8]?
25_Q2639,8 - 1 - What is the answer to [Field-9]?
25_Q2640,8 - 1 - What is the answer to [Field-10]?
25_Q2641,
26_Q2631,10 - 10 - What is the answer to [Field-1]?
26_Q2632,10 - 10 - What is the answer to [Field-2]?
26_Q2633,10 - 10 - What is the answer to [Field-3]?
26_Q2634,10 - 10 - What is the answer to [Field-4]?
26_Q2635,10 - 10 - What is the answer to [Field-5]?
26_Q2636,10 - 10 - What is the answer to [Field-6]?
26_Q2637,10 - 10 - What is the answer to [Field-7]?
26_Q2638,10 - 10 - What is the answer to [Field-8]?
26_Q2639,10 - 10 - What is the answer to [Field-9]?
26_Q2640,10 - 10 - What is the answer to [Field-10]?
26_Q2641,
1_Q2597,9 X 5 - What is the answer to [Field-1]?
1_Q2598,9 X 5 - What is the answer to [Field-2]?
1_Q2599,9 X 5 - What is the answer to [Field-3]?
1_Q2600,9 X 5 - What is the answer to [Field-4]?
1_Q2601,9 X 5 - What is the answer to [Field-5]?
1_Q2602,9 X 5 - What is the answer to [Field-6]?
1_Q2603,9 X 5 - What is the answer to [Field-7]?
1_Q2604,9 X 5 - What is the answer to [Field-8]?
1_Q2605,9 X 5 - What is the answer to [Field-9]?
1_Q2606,9 X 5 - What is the answer to [Field-10]?
1_Q1292,
2_Q2597,12 X 8 - What is the answer to [Field-1]?
2_Q2598,12 X 8 - What is the answer to [Field-2]?
2_Q2599,12 X 8 - What is the answer to [Field-3]?
2_Q2600,12 X 8 - What is the answer to [Field-4]?
2_Q2601,12 X 8 - What is the answer to [Field-5]?
2_Q2602,12 X 8 - What is the answer to [Field-6]?
2_Q2603,12 X 8 - What is the answer to [Field-7]?
2_Q2604,12 X 8 - What is the answer to [Field-8]?
2_Q2605,12 X 8 - What is the answer to [Field-9]?
2_Q2606,12 X 8 - What is the answer to [Field-10]?
2_Q1292,
3_Q2597,7 X 6 - What is the answer to [Field-1]?
3_Q2598,7 X 6 - What is the answer to [Field-2]?
3_Q2599,7 X 6 - What is the answer to [Field-3]?
3_Q2600,7 X 6 - What is the answer to [Field-4]?
3_Q2601,7 X 6 - What is the answer to [Field-5]?
3_Q2602,7 X 6 - What is the answer to [Field-6]?
3_Q2603,7 X 6 - What is the answer to [Field-7]?
3_Q2604,7 X 6 - What is the answer to [Field-8]?
3_Q2605,7 X 6 - What is the answer to [Field-9]?
3_Q2606,7 X 6 - What is the answer to [Field-10]?
3_Q1292,
4_Q2597,11 X 12 - What is the answer to [Field-1]?
4_Q2598,11 X 12 - What is the answer to [Field-2]?
4_Q2599,11 X 12 - What is the answer to [Field-3]?
4_Q2600,11 X 12 - What is the answer to [Field-4]?
4_Q2601,11 X 12 - What is the answer to [Field-5]?
4_Q2602,11 X 12 - What is the answer to [Field-6]?
4_Q2603,11 X 12 - What is the answer to [Field-7]?
4_Q2604,11 X 12 - What is the answer to [Field-8]?
4_Q2605,11 X 12 - What is the answer to [Field-9]?
4_Q2606,11 X 12 - What is the answer to [Field-10]?
4_Q1292,
5_Q2597,4 X 10 - What is the answer to [Field-1]?
5_Q2598,4 X 10 - What is the answer to [Field-2]?
5_Q2599,4 X 10 - What is the answer to [Field-3]?
5_Q2600,4 X 10 - What is the answer to [Field-4]?
5_Q2601,4 X 10 - What is the answer to [Field-5]?
5_Q2602,4 X 10 - What is the answer to [Field-6]?
5_Q2603,4 X 10 - What is the answer to [Field-7]?
5_Q2604,4 X 10 - What is the answer to [Field-8]?
5_Q2605,4 X 10 - What is the answer to [Field-9]?
5_Q2606,4 X 10 - What is the answer to [Field-10]?
5_Q1292,
6_Q2597,5 X 7 - What is the answer to [Field-1]?
6_Q2598,5 X 7 - What is the answer to [Field-2]?
6_Q2599,5 X 7 - What is the answer to [Field-3]?
6_Q2600,5 X 7 - What is the answer to [Field-4]?
6_Q2601,5 X 7 - What is the answer to [Field-5]?
6_Q2602,5 X 7 - What is the answer to [Field-6]?
6_Q2603,5 X 7 - What is the answer to [Field-7]?
6_Q2604,5 X 7 - What is the answer to [Field-8]?
6_Q2605,5 X 7 - What is the answer to [Field-9]?
6_Q2606,5 X 7 - What is the answer to [Field-10]?
6_Q1292,
7_Q2597,10 X 7 - What is the answer to [Field-1]?
7_Q2598,10 X 7 - What is the answer to [Field-2]?
7_Q2599,10 X 7 - What is the answer to [Field-3]?
7_Q2600,10 X 7 - What is the answer to [Field-4]?
7_Q2601,10 X 7 - What is the answer to [Field-5]?
7_Q2602,10 X 7 - What is the answer to [Field-6]?
7_Q2603,10 X 7 - What is the answer to [Field-7]?
7_Q2604,10 X 7 - What is the answer to [Field-8]?
7_Q2605,10 X 7 - What is the answer to [Field-9]?
7_Q2606,10 X 7 - What is the answer to [Field-10]?
7_Q1292,
8_Q2597,7 X 3 - What is the answer to [Field-1]?
8_Q2598,7 X 3 - What is the answer to [Field-2]?
8_Q2599,7 X 3 - What is the answer to [Field-3]?
8_Q2600,7 X 3 - What is the answer to [Field-4]?
8_Q2601,7 X 3 - What is the answer to [Field-5]?
8_Q2602,7 X 3 - What is the answer to [Field-6]?
8_Q2603,7 X 3 - What is the answer to [Field-7]?
8_Q2604,7 X 3 - What is the answer to [Field-8]?
8_Q2605,7 X 3 - What is the answer to [Field-9]?
8_Q2606,7 X 3 - What is the answer to [Field-10]?
8_Q1292,
9_Q2597,12 X 5 - What is the answer to [Field-1]?
9_Q2598,12 X 5 - What is the answer to [Field-2]?
9_Q2599,12 X 5 - What is the answer to [Field-3]?
9_Q2600,12 X 5 - What is the answer to [Field-4]?
9_Q2601,12 X 5 - What is the answer to [Field-5]?
9_Q2602,12 X 5 - What is the answer to [Field-6]?
9_Q2603,12 X 5 - What is the answer to [Field-7]?
9_Q2604,12 X 5 - What is the answer to [Field-8]?
9_Q2605,12 X 5 - What is the answer to [Field-9]?
9_Q2606,12 X 5 - What is the answer to [Field-10]?
9_Q1292,
10_Q2597,3 X 10 - What is the answer to [Field-1]?
10_Q2598,3 X 10 - What is the answer to [Field-2]?
10_Q2599,3 X 10 - What is the answer to [Field-3]?
10_Q2600,3 X 10 - What is the answer to [Field-4]?
10_Q2601,3 X 10 - What is the answer to [Field-5]?
10_Q2602,3 X 10 - What is the answer to [Field-6]?
10_Q2603,3 X 10 - What is the answer to [Field-7]?
10_Q2604,3 X 10 - What is the answer to [Field-8]?
10_Q2605,3 X 10 - What is the answer to [Field-9]?
10_Q2606,3 X 10 - What is the answer to [Field-10]?
10_Q1292,
11_Q2597,9 X 1 - What is the answer to [Field-1]?
11_Q2598,9 X 1 - What is the answer to [Field-2]?
11_Q2599,9 X 1 - What is the answer to [Field-3]?
11_Q2600,9 X 1 - What is the answer to [Field-4]?
11_Q2601,9 X 1 - What is the answer to [Field-5]?
11_Q2602,9 X 1 - What is the answer to [Field-6]?
11_Q2603,9 X 1 - What is the answer to [Field-7]?
11_Q2604,9 X 1 - What is the answer to [Field-8]?
11_Q2605,9 X 1 - What is the answer to [Field-9]?
11_Q2606,9 X 1 - What is the answer to [Field-10]?
11_Q1292,
12_Q2597,9 X 10 - What is the answer to [Field-1]?
12_Q2598,9 X 10 - What is the answer to [Field-2]?
12_Q2599,9 X 10 - What is the answer to [Field-3]?
12_Q2600,9 X 10 - What is the answer to [Field-4]?
12_Q2601,9 X 10 - What is the answer to [Field-5]?
12_Q2602,9 X 10 - What is the answer to [Field-6]?
12_Q2603,9 X 10 - What is the answer to [Field-7]?
12_Q2604,9 X 10 - What is the answer to [Field-8]?
12_Q2605,9 X 10 - What is the answer to [Field-9]?
12_Q2606,9 X 10 - What is the answer to [Field-10]?
12_Q1292,
13_Q2597,10 X 1 - What is the answer to [Field-1]?
13_Q2598,10 X 1 - What is the answer to [Field-2]?
13_Q2599,10 X 1 - What is the answer to [Field-3]?
13_Q2600,10 X 1 - What is the answer to [Field-4]?
13_Q2601,10 X 1 - What is the answer to [Field-5]?
13_Q2602,10 X 1 - What is the answer to [Field-6]?
13_Q2603,10 X 1 - What is the answer to [Field-7]?
13_Q2604,10 X 1 - What is the answer to [Field-8]?
13_Q2605,10 X 1 - What is the answer to [Field-9]?
13_Q2606,10 X 1 - What is the answer to [Field-10]?
13_Q1292,
14_Q2597,7 X 3 - What is the answer to [Field-1]?
14_Q2598,7 X 3 - What is the answer to [Field-2]?
14_Q2599,7 X 3 - What is the answer to [Field-3]?
14_Q2600,7 X 3 - What is the answer to [Field-4]?
14_Q2601,7 X 3 - What is the answer to [Field-5]?
14_Q2602,7 X 3 - What is the answer to [Field-6]?
14_Q2603,7 X 3 - What is the answer to [Field-7]?
14_Q2604,7 X 3 - What is the answer to [Field-8]?
14_Q2605,7 X 3 - What is the answer to [Field-9]?
14_Q2606,7 X 3 - What is the answer to [Field-10]?
14_Q1292,
15_Q2597,5 X 1 - What is the answer to [Field-1]?
15_Q2598,5 X 1 - What is the answer to [Field-2]?
15_Q2599,5 X 1 - What is the answer to [Field-3]?
15_Q2600,5 X 1 - What is the answer to [Field-4]?
15_Q2601,5 X 1 - What is the answer to [Field-5]?
15_Q2602,5 X 1 - What is the answer to [Field-6]?
15_Q2603,5 X 1 - What is the answer to [Field-7]?
15_Q2604,5 X 1 - What is the answer to [Field-8]?
15_Q2605,5 X 1 - What is the answer to [Field-9]?
15_Q2606,5 X 1 - What is the answer to [Field-10]?
15_Q1292,
16_Q2597,9 X 12 - What is the answer to [Field-1]?
16_Q2598,9 X 12 - What is the answer to [Field-2]?
16_Q2599,9 X 12 - What is the answer to [Field-3]?
16_Q2600,9 X 12 - What is the answer to [Field-4]?
16_Q2601,9 X 12 - What is the answer to [Field-5]?
16_Q2602,9 X 12 - What is the answer to [Field-6]?
16_Q2603,9 X 12 - What is the answer to [Field-7]?
16_Q2604,9 X 12 - What is the answer to [Field-8]?
16_Q2605,9 X 12 - What is the answer to [Field-9]?
16_Q2606,9 X 12 - What is the answer to [Field-10]?
16_Q1292,
17_Q2597,10 X 11 - What is the answer to [Field-1]?
17_Q2598,10 X 11 - What is the answer to [Field-2]?
17_Q2599,10 X 11 - What is the answer to [Field-3]?
17_Q2600,10 X 11 - What is the answer to [Field-4]?
17_Q2601,10 X 11 - What is the answer to [Field-5]?
17_Q2602,10 X 11 - What is the answer to [Field-6]?
17_Q2603,10 X 11 - What is the answer to [Field-7]?
17_Q2604,10 X 11 - What is the answer to [Field-8]?
17_Q2605,10 X 11 - What is the answer to [Field-9]?
17_Q2606,10 X 11 - What is the answer to [Field-10]?
17_Q1292,
18_Q2597,4 X 1 - What is the answer to [Field-1]?
18_Q2598,4 X 1 - What is the answer to [Field-2]?
18_Q2599,4 X 1 - What is the answer to [Field-3]?
18_Q2600,4 X 1 - What is the answer to [Field-4]?
18_Q2601,4 X 1 - What is the answer to [Field-5]?
18_Q2602,4 X 1 - What is the answer to [Field-6]?
18_Q2603,4 X 1 - What is the answer to [Field-7]?
18_Q2604,4 X 1 - What is the answer to [Field-8]?
18_Q2605,4 X 1 - What is the answer to [Field-9]?
18_Q2606,4 X 1 - What is the answer to [Field-10]?
18_Q1292,
19_Q2597,11 X 3 - What is the answer to [Field-1]?
19_Q2598,11 X 3 - What is the answer to [Field-2]?
19_Q2599,11 X 3 - What is the answer to [Field-3]?
19_Q2600,11 X 3 - What is the answer to [Field-4]?
19_Q2601,11 X 3 - What is the answer to [Field-5]?
19_Q2602,11 X 3 - What is the answer to [Field-6]?
19_Q2603,11 X 3 - What is the answer to [Field-7]?
19_Q2604,11 X 3 - What is the answer to [Field-8]?
19_Q2605,11 X 3 - What is the answer to [Field-9]?
19_Q2606,11 X 3 - What is the answer to [Field-10]?
19_Q1292,
20_Q2597,10 X 5 - What is the answer to [Field-1]?
20_Q2598,10 X 5 - What is the answer to [Field-2]?
20_Q2599,10 X 5 - What is the answer to [Field-3]?
20_Q2600,10 X 5 - What is the answer to [Field-4]?
20_Q2601,10 X 5 - What is the answer to [Field-5]?
20_Q2602,10 X 5 - What is the answer to [Field-6]?
20_Q2603,10 X 5 - What is the answer to [Field-7]?
20_Q2604,10 X 5 - What is the answer to [Field-8]?
20_Q2605,10 X 5 - What is the answer to [Field-9]?
20_Q2606,10 X 5 - What is the answer to [Field-10]?
