"workerId","task_score","gender","gender_other","task_comp_check1","task_comp_check2","task_comp_check3","task_comp_check_acc","practice_problems_binary","perc_practice_all","perc_practice_men","perc_practice_women","conf_rank","better_gender_guess","perc_task_gender_pract","perc_gender_comp_F","perc_gender_comp_M","risk","perc_gen_gender_pract","age","education","condition","extra_practice_rounds_count","practice_nonempty","fraud","Q_RecaptchaScore","Q_RelevantIDDuplicate","Q_RelevantIDDuplicateScore","Q_RelevantIDFraudScore","total_pract_time","Finished","perceived_pract_dev","perceived_pract_dev_F","perceived_pract_dev_M"
"A24HOBENULGZA2",6,"Man",NA,"48",NA,NA,0,"Yes",90,80,80,50,"Men correctly solved more multiplication problems than women","Men were more likely to practice/study than women","Women would choose piece rate more often than tournament","Men would choose tournament more often than piece rate","8","Men prepare more than women",29,"Bachelor's degree (BA, BS, etc)","tournament",1,20,0,1,NA,0,25,121.925,TRUE,-3.28698153919923,-13.2869815391992,-13.2869815391992
"A170R0WAZC31WC",13,"Woman",NA,"48",NA,NA,0,"No",50,20,50,50,"Men correctly solved more multiplication problems than women","Women were more likely to practice/study than men","Women would choose piece rate more often than tournament","Men would choose tournament more often than piece rate","2","There is no difference in how much men and women prepare",52,"Associate's degree (including occupational or academic degrees)","piecerate",0,0,0,0.899999976158142,NA,0,0,0,TRUE,50,50,20
"A3CGQOJC28OVGN",20,"Woman",NA,"48",NA,NA,0,"No",100,100,100,80,"There was no difference in how many multiplication problems men and women correctly solved","Women were more likely to practice/study than men","Women would choose tournament more often than piece rate","Men would choose piece rate more often than tournament","6","Women prepare more than men",31,"Bachelor's degree (BA, BS, etc)","piecerate",0,0,0,1,NA,0,0,0,TRUE,100,100,100
"A28AXX4NCWPH1F",11,"Man",NA,"48",NA,NA,0,"No",50,50,0,30,"There was no difference in how many multiplication problems men and women correctly solved","There was no difference in how likely men and women were to practice/study","Women would choose each payment scheme equally","Men would choose each payment scheme equally","0","There is no difference in how much men and women prepare",37,"Associate's degree (including occupational or academic degrees)","tournament",0,0,0,0.899999976158142,NA,0,0,0,TRUE,50,0,50
"A3IDG9C18BCATK",21,"Man",NA,"48",NA,NA,0,"No",70,70,60,70,"There was no difference in how many multiplication problems men and women correctly solved","Women were more likely to practice/study than men","Women would choose piece rate more often than tournament","Men would choose tournament more often than piece rate","2","Women prepare more than men",32,"Bachelor's degree (BA, BS, etc)","piecerate",0,0,0,0.899999976158142,NA,0,0,0,TRUE,70,60,70
"A1DC5O5XEIMM1M",12,"Woman",NA,"48",NA,NA,0,"Yes",80,0,80,90,"Men correctly solved more multiplication problems than women","There was no difference in how likely men and women were to practice/study","Women would choose tournament more often than piece rate","Men would choose piece rate more often than tournament","7","Women prepare more than men",42,"Master's degree (MA, MS, MENG, MSW, etc)","piecerate",0,10,0,1,NA,0,20,39.443,TRUE,18.5039558858787,18.5039558858787,-61.4960441141213
"AUDVJK5HUS4TS",11,"Woman",NA,"48",NA,NA,0,"No",80,80,70,70,"Men correctly solved more multiplication problems than women","Men were more likely to practice/study than women","Women would choose tournament more often than piece rate","Men would choose tournament more often than piece rate","9","Women prepare more than men",45,"Bachelor's degree (BA, BS, etc)","tournament",0,0,1,0.400000005960464,TRUE,90,5,0,TRUE,80,70,80
"AR5RKWHR0DUCS",10,"Man",NA,"48",NA,NA,0,"No",100,100,100,20,"There was no difference in how many multiplication problems men and women correctly solved","There was no difference in how likely men and women were to practice/study","Women would choose each payment scheme equally","Men would choose each payment scheme equally","2","There is no difference in how much men and women prepare",61,"Bachelor's degree (BA, BS, etc)","tournament",0,0,0,0.800000011920929,NA,0,0,0,TRUE,100,100,100
"A2EH7IQCDH2Q5D",11,"Woman",NA,"48",NA,NA,0,"No",10,10,100,40,"There was no difference in how many multiplication problems men and women correctly solved","Women were more likely to practice/study than men","Women would choose piece rate more often than tournament","Men would choose tournament more often than piece rate","6","Women prepare more than men",30,"Less than high school","piecerate",0,0,0,1,NA,0,0,0,TRUE,10,100,10
NA,NA,"Woman",NA,"48",NA,NA,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"tournament",0,0,1,1,TRUE,100,25,0,FALSE,0,0,0
"A1LJT9OW9UR4GF",NA,"Woman",NA,"48",NA,NA,0,"Yes",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"tournament",0,0,0,0.899999976158142,NA,0,0,0,FALSE,0,0,0
"AUDVJK5HUS4TS",0,"Woman",NA,"48",NA,NA,0,"Yes",60,70,50,70,"Women correctly solved more multiplication problems than men","Men were more likely to practice/study than women",NA,NA,NA,NA,NA,NA,"tournament",0,10,0,0.899999976158142,NA,0,0,45.102,FALSE,-1.49604411412132,-11.4960441141213,8.50395588587868
"A1SK77UV16VAHF",9,"Woman",NA,"48",NA,NA,0,"Yes",100,100,100,10,"There was no difference in how many multiplication problems men and women correctly solved","There was no difference in how likely men and women were to practice/study","Women would choose piece rate more often than tournament","Men would choose tournament more often than piece rate","2","There is no difference in how much men and women prepare",26,"Associate's degree (including occupational or academic degrees)","tournament",0,10,1,0.400000005960464,NA,0,0,43.846,TRUE,38.5039558858787,38.5039558858787,38.5039558858787
"A1FMVUYV72MUO3",10,"Man",NA,"48",NA,NA,0,"Yes",60,70,40,60,"Men correctly solved more multiplication problems than women","Women were more likely to practice/study than men","Women would choose piece rate more often than tournament","Men would choose tournament more often than piece rate","6","Women prepare more than men",40,"Some college (1-4 years, no degree)","piecerate",0,10,0,1,NA,0,0,35.669,TRUE,-1.49604411412132,-21.4960441141213,8.50395588587868
"A11F3MA5FWH6SJ",18,"Man",NA,"48",NA,NA,0,"Yes",40,40,40,40,"There was no difference in how many multiplication problems men and women correctly solved","There was no difference in how likely men and women were to practice/study","Women would choose each payment scheme equally","Men would choose each payment scheme equally","8","There is no difference in how much men and women prepare",35,"High school graduate (GED)","piecerate",0,10,0,0.899999976158142,NA,0,0,36.717,TRUE,-21.4960441141213,-21.4960441141213,-21.4960441141213
"AOIR8V07FYMH5",20,"Man",NA,"48",NA,NA,0,"No",70,70,60,70,"There was no difference in how many multiplication problems men and women correctly solved","There was no difference in how likely men and women were to practice/study","Women would choose piece rate more often than tournament","Men would choose piece rate more often than tournament","6","There is no difference in how much men and women prepare",35,"High school graduate (diploma)","tournament",0,0,0,0.899999976158142,NA,0,0,0,TRUE,70,60,70
"AZKH2AKED4XYL",6,"Man",NA,"48",NA,NA,0,"No",10,10,20,10,"There was no difference in how many multiplication problems men and women correctly solved","There was no difference in how likely men and women were to practice/study","Women would choose piece rate more often than tournament","Men would choose each payment scheme equally","8","Women prepare more than men",34,"Master's degree (MA, MS, MENG, MSW, etc)","piecerate",0,0,0,0.800000011920929,NA,0,5,0,TRUE,10,20,10
"A31XT6RPLN6359",6,"Woman",NA,"48",NA,NA,0,"No",60,50,60,10,"Men correctly solved more multiplication problems than women","Women were more likely to practice/study than men","Women would choose piece rate more often than tournament","Men would choose piece rate more often than tournament","0","Women prepare more than men",44,"High school graduate (diploma)","tournament",0,0,0,0.899999976158142,NA,0,0,0,TRUE,60,60,50
"A358YR7MWC6LRH",11,"Man",NA,"48",NA,NA,0,"No",100,100,100,70,"Men correctly solved more multiplication problems than women","Women were more likely to practice/study than men","Women would choose piece rate more often than tournament","Men would choose tournament more often than piece rate","7","Women prepare more than men",34,"Bachelor's degree (BA, BS, etc)","tournament",0,0,0,1,NA,0,0,0,TRUE,100,100,100
"A36HFMF9Z4BGS8",8,"Man",NA,"48",NA,NA,0,"No",50,60,40,30,"Women correctly solved more multiplication problems than men","Women were more likely to practice/study than men","Women would choose piece rate more often than tournament","Men would choose piece rate more often than tournament","3","Women prepare more than men",58,"Some college (1-4 years, no degree)","tournament",0,0,0,0.899999976158142,NA,0,0,0,TRUE,50,40,60
"AV5FCKI1TTSKR",13,"Man",NA,"48",NA,NA,0,"No",90,90,90,90,"There was no difference in how many multiplication problems men and women correctly solved","There was no difference in how likely men and women were to practice/study","Women would choose tournament more often than piece rate","Men would choose tournament more often than piece rate","10","There is no difference in how much men and women prepare",47,"Bachelor's degree (BA, BS, etc)","piecerate",0,0,0,1,NA,0,0,0,TRUE,90,90,90
"ACYH2RL9NM7FS",7,"Woman",NA,"48",NA,NA,0,"No",10,100,100,100,"Men correctly solved more multiplication problems than women","Women were more likely to practice/study than men","Women would choose piece rate more often than tournament","Men would choose tournament more often than piece rate","2","Men prepare more than women",27,"Bachelor's degree (BA, BS, etc)","piecerate",0,0,0,0.899999976158142,NA,0,0,0,TRUE,10,100,100
"A1F2APQMJSQVFK",8,"Woman",NA,"48",NA,NA,0,"Yes",20,10,20,30,"Women correctly solved more multiplication problems than men","Women were more likely to practice/study than men","Women would choose piece rate more often than tournament","Men would choose tournament more often than piece rate","9","Women prepare more than men",28,"Bachelor's degree (BA, BS, etc)","piecerate",0,10,0,0.899999976158142,NA,0,15,54.698,TRUE,-41.4960441141213,-41.4960441141213,-51.4960441141213
"A24F08A7411TVV",7,"Man",NA,"48",NA,NA,0,"No",50,50,0,0,"There was no difference in how many multiplication problems men and women correctly solved","There was no difference in how likely men and women were to practice/study","Women would choose piece rate more often than tournament","Men would choose tournament more often than piece rate","3","Women prepare more than men",36,"Some college (1-4 years, no degree)","piecerate",0,0,0,1,NA,0,0,0,TRUE,50,0,50
"A2616JPJO73667",4,"Man",NA,"48",NA,NA,0,"No",100,100,100,30,"There was no difference in how many multiplication problems men and women correctly solved","There was no difference in how likely men and women were to practice/study","Women would choose piece rate more often than tournament","Men would choose each payment scheme equally","6","Men prepare more than women",30,"High school graduate (GED)","tournament",0,0,0,0.899999976158142,NA,0,0,0,TRUE,100,100,100
"ASM6WO4RKN6LA",20,"Man",NA,"48",NA,NA,0,"No",60,50,40,30,"There was no difference in how many multiplication problems men and women correctly solved","There was no difference in how likely men and women were to practice/study","Women would choose each payment scheme equally","Men would choose piece rate more often than tournament","6","Women prepare more than men",27,"Professional school degree (MD, DDC, JD, etc)","piecerate",0,0,0,0.899999976158142,NA,0,0,0,TRUE,60,40,50
"A3MF45BRXO6WQ6",21,"Man",NA,"48",NA,NA,0,"No",30,30,30,70,"Men correctly solved more multiplication problems than women","Women were more likely to practice/study than men","Women would choose piece rate more often than tournament","Men would choose piece rate more often than tournament","1","Men prepare more than women",33,"Master's degree (MA, MS, MENG, MSW, etc)","piecerate",0,0,0,0.699999988079071,NA,0,0,0,TRUE,30,30,30
"A3D943YJI95XZY",17,"Man",NA,"48",NA,NA,0,"No",60,100,50,70,"Men correctly solved more multiplication problems than women","Women were more likely to practice/study than men","Women would choose piece rate more often than tournament","Men would choose tournament more often than piece rate","8","Women prepare more than men",19,"Some college (1-4 years, no degree)","piecerate",0,0,0,0.899999976158142,NA,0,0,0,TRUE,60,50,100
"A2SO4O8XWUGS4A",13,"Man",NA,"48",NA,NA,0,"No",90,0,70,90,"There was no difference in how many multiplication problems men and women correctly solved","Men were more likely to practice/study than women","Women would choose piece rate more often than tournament","Men would choose tournament more often than piece rate","5","There is no difference in how much men and women prepare",21,"Some college (1-4 years, no degree)","piecerate",0,0,0,0.899999976158142,NA,0,0,0,TRUE,90,70,0
"A2J1ANUL0BYKUK",22,"Man",NA,"48",NA,NA,0,"No",100,100,100,70,"There was no difference in how many multiplication problems men and women correctly solved","There was no difference in how likely men and women were to practice/study","Women would choose piece rate more often than tournament","Men would choose tournament more often than piece rate","7","There is no difference in how much men and women prepare",33,"Bachelor's degree (BA, BS, etc)","piecerate",0,0,0,0.899999976158142,NA,0,0,0,TRUE,100,100,100
"A3NHBXYOMMJ2W6",10,"Woman",NA,"48",NA,NA,0,"Yes",80,90,40,70,"Men correctly solved more multiplication problems than women","Women were more likely to practice/study than men","Women would choose piece rate more often than tournament","Men would choose tournament more often than piece rate","6","Women prepare more than men",30,"Associate's degree (including occupational or academic degrees)","piecerate",0,10,0,0.899999976158142,NA,0,0,25.281,TRUE,18.5039558858787,-21.4960441141213,28.5039558858787
"A9KUDJIUCERON",20,"Man",NA,"48",NA,NA,0,"No",70,70,60,80,"There was no difference in how many multiplication problems men and women correctly solved","There was no difference in how likely men and women were to practice/study","Women would choose piece rate more often than tournament","Men would choose tournament more often than piece rate","5","There is no difference in how much men and women prepare",50,"Bachelor's degree (BA, BS, etc)","tournament",0,0,0,0.899999976158142,NA,0,0,0,TRUE,70,60,70
"A21BXRUD15TQL8",10,"Woman",NA,"48",NA,NA,0,"No",30,30,20,0,"Women correctly solved more multiplication problems than men","Women were more likely to practice/study than men","Women would choose piece rate more often than tournament","Men would choose tournament more often than piece rate","6","Women prepare more than men",32,"Bachelor's degree (BA, BS, etc)","tournament",0,0,0,0.899999976158142,NA,0,0,0,TRUE,30,20,30
"A2N533GEQEZ7ZB",6,"Woman",NA,"48",NA,NA,0,"No",70,60,70,60,"Women correctly solved more multiplication problems than men","There was no difference in how likely men and women were to practice/study","Women would choose piece rate more often than tournament","Men would choose piece rate more often than tournament","6","Women prepare more than men",40,"Bachelor's degree (BA, BS, etc)","piecerate",0,0,0,0.800000011920929,NA,0,0,0,TRUE,70,70,60
"A2L2E6J3D23CN4",21,"Man",NA,"48",NA,NA,0,"No",100,30,30,60,"There was no difference in how many multiplication problems men and women correctly solved","Women were more likely to practice/study than men","Women would choose piece rate more often than tournament","Men would choose tournament more often than piece rate","0","Women prepare more than men",32,"Bachelor's degree (BA, BS, etc)","tournament",0,0,0,1,NA,0,0,0,TRUE,100,30,30
"A1E6ATEW6RQJ5X",12,"Man",NA,"48",NA,NA,0,"No",100,100,100,20,"Women correctly solved more multiplication problems than men","Women were more likely to practice/study than men","Women would choose tournament more often than piece rate","Men would choose tournament more often than piece rate","5","Women prepare more than men",33,"Bachelor's degree (BA, BS, etc)","tournament",0,0,0,0.899999976158142,NA,0,0,0,TRUE,100,100,100
"A2AAY4VT9L71SY",14,"Man",NA,"48",NA,NA,0,"No",50,50,0,60,"There was no difference in how many multiplication problems men and women correctly solved","There was no difference in how likely men and women were to practice/study","Women would choose each payment scheme equally","Men would choose each payment scheme equally","2","There is no difference in how much men and women prepare",35,"High school graduate (diploma)","piecerate",0,0,0,0.899999976158142,NA,0,0,0,TRUE,50,0,50
"A18T3WK7J16C1B",8,"Woman",NA,"48",NA,NA,0,"No",100,100,100,40,"There was no difference in how many multiplication problems men and women correctly solved","Women were more likely to practice/study than men","Women would choose piece rate more often than tournament","Men would choose tournament more often than piece rate","4","Women prepare more than men",28,"High school graduate (GED)","tournament",0,0,0,1,NA,0,20,0,TRUE,100,100,100
"A2SLEMDA17XTZ1",13,"Woman",NA,"48",NA,NA,0,"No",50,40,60,40,"There was no difference in how many multiplication problems men and women correctly solved","There was no difference in how likely men and women were to practice/study","Women would choose each payment scheme equally","Men would choose each payment scheme equally","3","Men prepare more than women",52,"High school graduate (diploma)","tournament",0,0,0,0.899999976158142,NA,0,0,0,TRUE,50,60,40
"A204Q4T20BP8V",15,"Man",NA,"48",NA,NA,0,"No",100,100,100,30,"There was no difference in how many multiplication problems men and women correctly solved","There was no difference in how likely men and women were to practice/study","Women would choose piece rate more often than tournament","Men would choose piece rate more often than tournament","5","There is no difference in how much men and women prepare",41,"Some college (1-4 years, no degree)","tournament",0,0,0,0.899999976158142,NA,0,0,0,TRUE,100,100,100
"A1S13X9UM2B0CT",12,"Man",NA,"48",NA,NA,0,"No",100,100,100,0,"Women correctly solved more multiplication problems than men","Women were more likely to practice/study than men","Women would choose piece rate more often than tournament","Men would choose tournament more often than piece rate","3","Women prepare more than men",20,"High school graduate (diploma)","piecerate",0,0,0,0.899999976158142,NA,0,0,0,TRUE,100,100,100
"A1HYFB36R5PI0T",12,"Woman",NA,"48",NA,NA,0,"Yes",80,90,80,80,"Women correctly solved more multiplication problems than men","Women were more likely to practice/study than men","Women would choose tournament more often than piece rate","Men would choose tournament more often than piece rate","8","Women prepare more than men",69,"Bachelor's degree (BA, BS, etc)","piecerate",0,10,0,0.899999976158142,NA,0,0,27.57,TRUE,18.5039558858787,18.5039558858787,28.5039558858787
"ANO4UVU9I3OPY",13,"Woman",NA,"48",NA,NA,0,"No",100,100,90,40,"Women correctly solved more multiplication problems than men","Women were more likely to practice/study than men","Women would choose piece rate more often than tournament","Men would choose tournament more often than piece rate","10","Women prepare more than men",65,"Bachelor's degree (BA, BS, etc)","tournament",0,0,0,1,NA,0,0,0,TRUE,100,90,100
"A2I37S7GQR6X1H",11,"Man",NA,"48",NA,NA,0,"No",100,100,100,70,"Men correctly solved more multiplication problems than women","Women were more likely to practice/study than men","Women would choose piece rate more often than tournament","Men would choose tournament more often than piece rate","7","Women prepare more than men",61,"Master's degree (MA, MS, MENG, MSW, etc)","piecerate",0,0,0,1,NA,0,0,0,TRUE,100,100,100
"A5CIHEPULDFUF",17,"Man",NA,"48",NA,NA,0,"No",60,70,20,10,"Men correctly solved more multiplication problems than women","There was no difference in how likely men and women were to practice/study","Women would choose tournament more often than piece rate","Men would choose tournament more often than piece rate","7","There is no difference in how much men and women prepare",27,"Some college (1-4 years, no degree)","piecerate",0,0,0,1,NA,0,0,0,TRUE,60,20,70
"A1X6N7VH0PP69T",13,"Man",NA,"48",NA,NA,0,"Yes",60,60,50,30,"There was no difference in how many multiplication problems men and women correctly solved","There was no difference in how likely men and women were to practice/study","Women would choose piece rate more often than tournament","Men would choose tournament more often than piece rate","6","There is no difference in how much men and women prepare",39,"Associate's degree (including occupational or academic degrees)","tournament",1,20,0,0.899999976158142,NA,0,0,68.541,TRUE,-33.2869815391992,-43.2869815391992,-33.2869815391992
"A3JHXEH79DJ83L",9,"Woman",NA,"48",NA,NA,0,"No",100,100,100,60,"There was no difference in how many multiplication problems men and women correctly solved","There was no difference in how likely men and women were to practice/study","Women would choose tournament more often than piece rate","Men would choose tournament more often than piece rate","6","Women prepare more than men",60,"Associate's degree (including occupational or academic degrees)","tournament",0,0,0,0.800000011920929,NA,0,5,0,TRUE,100,100,100
"A39HTBZLKVUM49",9,"Woman",NA,"48",NA,NA,0,"No",100,10,10,20,"There was no difference in how many multiplication problems men and women correctly solved","There was no difference in how likely men and women were to practice/study","Women would choose piece rate more often than tournament","Men would choose tournament more often than piece rate","4","Women prepare more than men",30,"Master's degree (MA, MS, MENG, MSW, etc)","tournament",0,0,0,1,NA,0,0,0,TRUE,100,10,10
"AMOBC1D09Q381",12,"Man",NA,"123",2,NA,1,"No",100,100,100,0,"Women correctly solved more multiplication problems than men","Women were more likely to practice/study than men","Women would choose piece rate more often than tournament","Men would choose tournament more often than piece rate","4","Women prepare more than men",39,"Some college (1-4 years, no degree)","piecerate",0,0,0,1,NA,0,0,0,TRUE,100,100,100
"A20S6YBD2VKCZU",14,"Woman",NA,"48",NA,NA,0,"No",40,40,40,60,"Men correctly solved more multiplication problems than women","Men were more likely to practice/study than women","Women would choose piece rate more often than tournament","Men would choose tournament more often than piece rate","0","Men prepare more than women",35,"Some college (1-4 years, no degree)","piecerate",0,0,0,0.899999976158142,NA,0,0,0,TRUE,40,40,40
"A12AEHQFD7IQWO",7,"Woman",NA,"48",NA,NA,0,"No",100,100,100,40,"There was no difference in how many multiplication problems men and women correctly solved","There was no difference in how likely men and women were to practice/study","Women would choose each payment scheme equally","Men would choose each payment scheme equally","2","There is no difference in how much men and women prepare",53,"Bachelor's degree (BA, BS, etc)","piecerate",0,0,0,1,NA,0,0,0,TRUE,100,100,100
"A2YTTNEX6T1W1W",10,"Man",NA,"48",NA,NA,0,"No",100,100,100,40,"There was no difference in how many multiplication problems men and women correctly solved","Women were more likely to practice/study than men","Women would choose piece rate more often than tournament","Men would choose each payment scheme equally","1","Women prepare more than men",67,"Master's degree (MA, MS, MENG, MSW, etc)","tournament",0,0,0,0.899999976158142,NA,0,0,0,TRUE,100,100,100
"A16184N1RO5OJV",16,"Woman",NA,"48",NA,NA,0,"Yes",10,10,10,50,"Men correctly solved more multiplication problems than women","Women were more likely to practice/study than men","Women would choose piece rate more often than tournament","Men would choose tournament more often than piece rate","2","Women prepare more than men",41,"Bachelor's degree (BA, BS, etc)","piecerate",0,10,0,1,NA,0,10,24.169,TRUE,-51.4960441141213,-51.4960441141213,-51.4960441141213
"A2STII6M64WP94",4,"Man",NA,"48",NA,NA,0,"No",50,60,50,50,"There was no difference in how many multiplication problems men and women correctly solved","There was no difference in how likely men and women were to practice/study","Women would choose tournament more often than piece rate","Men would choose tournament more often than piece rate","7","There is no difference in how much men and women prepare",28,"Some college (1-4 years, no degree)","tournament",0,0,0,0.899999976158142,NA,0,0,0,TRUE,50,50,60
"A37ALRG0BRLQQ3",13,"Man",NA,"48",NA,NA,0,"No",100,100,100,10,"Women correctly solved more multiplication problems than men","Women were more likely to practice/study than men","Women would choose piece rate more often than tournament","Men would choose tournament more often than piece rate","1","There is no difference in how much men and women prepare",59,"Associate's degree (including occupational or academic degrees)","tournament",0,0,0,0.899999976158142,NA,0,0,0,TRUE,100,100,100
"A2SDB8EW9EYKET",4,"Woman",NA,"28",2,NA,1,"No",50,50,0,40,"There was no difference in how many multiplication problems men and women correctly solved","There was no difference in how likely men and women were to practice/study","Women would choose each payment scheme equally","Men would choose each payment scheme equally","10","There is no difference in how much men and women prepare",43,"Bachelor's degree (BA, BS, etc)","tournament",0,0,0,0.899999976158142,NA,0,0,0,TRUE,50,0,50
"A19K7P7U3P1WVJ",5,"Woman",NA,"48",NA,NA,0,"Yes",50,50,30,20,"Women correctly solved more multiplication problems than men","Women were more likely to practice/study than men","Women would choose piece rate more often than tournament","Men would choose tournament more often than piece rate","6","Women prepare more than men",52,"Bachelor's degree (BA, BS, etc)","tournament",0,10,0,0.899999976158142,NA,0,0,39.531,TRUE,-11.4960441141213,-31.4960441141213,-11.4960441141213
"A29CCD6DOOQCGB",16,"Woman",NA,"48",NA,NA,0,"No",100,100,100,50,"There was no difference in how many multiplication problems men and women correctly solved","Women were more likely to practice/study than men","Women would choose piece rate more often than tournament","Men would choose tournament more often than piece rate","3","There is no difference in how much men and women prepare",38,"Master's degree (MA, MS, MENG, MSW, etc)","piecerate",0,0,0,0.899999976158142,NA,0,0,0,TRUE,100,100,100
"A1PVL74S10WYD7",17,"Woman",NA,"48",NA,NA,0,"No",10,50,0,50,"Women correctly solved more multiplication problems than men","Women were more likely to practice/study than men","Women would choose piece rate more often than tournament","Men would choose piece rate more often than tournament","5","Women prepare more than men",30,"Bachelor's degree (BA, BS, etc)","tournament",0,0,0,1,NA,0,0,0,TRUE,10,0,50
"ACOUEGRDJO7B6",9,"Man",NA,"48",NA,NA,0,"No",100,100,100,70,"Men correctly solved more multiplication problems than women","Women were more likely to practice/study than men","Women would choose piece rate more often than tournament","Men would choose tournament more often than piece rate","4","Women prepare more than men",36,"High school graduate (diploma)","piecerate",0,0,0,0.899999976158142,NA,0,0,0,TRUE,100,100,100
"A2VAL2BRKVSUB5",12,"Man",NA,"48",NA,NA,0,"No",100,100,100,70,"Men correctly solved more multiplication problems than women","Women were more likely to practice/study than men","Women would choose piece rate more often than tournament","Men would choose tournament more often than piece rate","9","Women prepare more than men",44,"Some college (1-4 years, no degree)","tournament",0,0,0,0.899999976158142,NA,0,0,0,TRUE,100,100,100
