"gender","residence","residence_other","nationality","nationality_other","task_comp_check1","task_comp_check2","task_comp_check3","timing_ctrl1q","timing_ctrl1a","timing_ctrl2q","timing_ctrl2a","timing_ctrl3q","timing_ctrl3a","timing_ctrl4q","timing_ctrl4a","timing_ctrl5q","timing_ctrl5a","timing_prep1q","timing_prep1a","timing_prep2q","timing_prep2a","timing_prep3q","timing_prep3a","timing_prep4q","timing_prep4a","timing_prep5q","timing_prep5a","timing_prep6q","timing_prep6a","timing_prep7q","timing_prep7a","timing_prep8q","timing_prep8a","timing_prep9q","timing_prep9a","timing_prep10q","timing_prep10a","timing_prep11q","timing_prep11a","timing_prep12q","timing_prep12a","comp_check_pr1","comp_check_pr1_do","comp_check_pr2","comp_check_pr2_do","comp_check_comp1","comp_check_comp1_do","comp_check_comp2","comp_check_comp2_do","comp_check_comp3","comp_check_comp3_do","comp_check_comp4","comp_check_comp4_do","comp_choice","conf_rank","better_gender_guess","perc_task_gender_pract","perc_gender_comp","risk","preparedness","perc_gen_gender_pract","fatigue_1","fatigue_2","fab_1","fab_2","fab_3","fab_4","fab_5","fab_6","fab_do","interest","age","race_ethnicity","race_ethnicity_other","income","education","unclear","Gender...1274","condition","score_before_task","unlimited_prep_score","task_score","comp_choice_do","bonus_task","task_comp_check_acc","pay_comp_check_acc","n_comp_wrong","extra_prep_count","pract_choice","practice_nonempty","fati","fab"
"Man","United States",NA,"American",NA,"48",NA,NA,12.182,2.167,11.638,1.162,12.011,0.81,19.233,1.189,NA,1.215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$1.20","$.25|$1.20|$12|$0","$14","$0|$.25|$1.40|$14","$2","$0|$.25|$2|$24","$28","$28|$.25|$2|$0","$24","$0|$24|$.25|$2","$0","$2|$28|$0|$.25","tournament",50,"Men","Men","Women",5,"No","Men",1,1,5,4,3,3,4,5,"Being a top scholar of math requires a special aptitude that just can’t be taught.|With the right amount of effort and dedication, anyone can become a top scholar in math.|People who are successful in math are very different from ordinary people.|When it comes to math, the most important factors for success are motivation and sustained effort; raw ability is secondary.|To succeed in math you have to be a special kind of person; not just anyone can be successful in it.|If you want to succeed in math, hard work alone just won’t cut it; you need to have an innate gift or talent.",6,38,"White/Caucasian",NA,"$30,000 to $40,000","Bachelor's Degree",NA,0,"control",5,NA,25,"tournament_first",0,0,3,3,0,"No",0,1,4
"Woman","United States",NA,"American",NA,"48",NA,NA,13.052,2.349,11.76,1.072,11.614,1.187,9.362,1.061,NA,0.891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$1.20","$.25|$0|$1.20|$12","$14","$1.40|$.25|$0|$14","$24","$.25|$2|$24|$0",NA,NA,"$0","$0|$.25|$2|$24",NA,NA,"piecerate",70,"Women","Women","Men",3,"No","Women",5,5,5,3,5,2,2,2,"People who are successful in math are very different from ordinary people.|To succeed in math you have to be a special kind of person; not just anyone can be successful in it.|If you want to succeed in math, hard work alone just won’t cut it; you need to have an innate gift or talent.|Being a top scholar of math requires a special aptitude that just can’t be taught.|When it comes to math, the most important factors for success are motivation and sustained effort; raw ability is secondary.|With the right amount of effort and dedication, anyone can become a top scholar in math.",6,38,"White/Caucasian",NA,"$30,000 to $40,000","Graduate Degree",NA,1,"control",4,NA,48,"tournament_first",4.8,0,1,1,0,"No",0,5,3.16666666666667
"Man","United States",NA,"American",NA,"48",NA,NA,9.365,1.309,6.968,1.138,7.364,1.046,7.425,0.951,NA,1.121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$12","$.25|$1.20|$12|$0",NA,NA,"$24","$0|$2|$.25|$24",NA,NA,"$0","$.25|$2|$24|$0",NA,NA,"piecerate",80,"Men","Women","Men",6,"No","Women",2,2,5,5,5,2,5,2,"To succeed in math you have to be a special kind of person; not just anyone can be successful in it.|People who are successful in math are very different from ordinary people.|When it comes to math, the most important factors for success are motivation and sustained effort; raw ability is secondary.|Being a top scholar of math requires a special aptitude that just can’t be taught.|With the right amount of effort and dedication, anyone can become a top scholar in math.|If you want to succeed in math, hard work alone just won’t cut it; you need to have an innate gift or talent.",5,42,"White/Caucasian",NA,"$20,000 to $30,000","Bachelor's Degree",NA,0,"control",5,NA,95,"tournament_first",9.5,0,0,0,0,"No",0,2,4
"Man","United States",NA,"American",NA,"48",NA,NA,13.362,1.949,10.644,0.803,12.117,0.726,9.386,1.16,NA,1.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$12","$0|$.25|$1.20|$12",NA,NA,"$24","$.25|$0|$2|$24",NA,NA,"$0","$.25|$2|$24|$0",NA,NA,"piecerate",60,"Women","Women","Men",5,"No","Women",4,4,5,4,1,4,4,6,"When it comes to math, the most important factors for success are motivation and sustained effort; raw ability is secondary.|People who are successful in math are very different from ordinary people.|To succeed in math you have to be a special kind of person; not just anyone can be successful in it.|Being a top scholar of math requires a special aptitude that just can’t be taught.|With the right amount of effort and dedication, anyone can become a top scholar in math.|If you want to succeed in math, hard work alone just won’t cut it; you need to have an innate gift or talent.",4,29,"White/Caucasian",NA,"$80,000 to $90,000","Some College",NA,0,"control",5,NA,44,"pr_first",4.4,0,0,0,0,"No",0,4,4
"Man","United States",NA,"American",NA,"48",NA,NA,15.4,2.135,12.658,1.439,17.338,1.236,13.805,1.332,NA,0.838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$12","$.25|$12|$0|$1.20",NA,NA,"$24","$2|$.25|$24|$0",NA,NA,"$0","$24|$.25|$0|$2",NA,NA,"piecerate",70,"Men","Men","Men",7,"No","Men",3,3,6,6,4,3,5,5,"People who are successful in math are very different from ordinary people.|Being a top scholar of math requires a special aptitude that just can’t be taught.|If you want to succeed in math, hard work alone just won’t cut it; you need to have an innate gift or talent.|When it comes to math, the most important factors for success are motivation and sustained effort; raw ability is secondary.|With the right amount of effort and dedication, anyone can become a top scholar in math.|To succeed in math you have to be a special kind of person; not just anyone can be successful in it.",6,33,"White/Caucasian",NA,"$100,000 to $200,00","Bachelor's Degree",NA,0,"control",3,NA,53,"pr_first",5.3,0,0,0,0,"No",0,3,4.83333333333333
"Man","United States",NA,"American",NA,"48",NA,NA,13.364,11.909,14.993,0.826,14.922,0.855,11.846,0.791,NA,1.286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$12","$.25|$12|$0|$1.20",NA,NA,"$24","$0|$.25|$24|$2",NA,NA,"$0","$0|$.25|$24|$2",NA,NA,"piecerate",70,"Men","Women","Men",4,"No","Women",1,1,2,4,2,2,3,2,"If you want to succeed in math, hard work alone just won’t cut it; you need to have an innate gift or talent.|When it comes to math, the most important factors for success are motivation and sustained effort; raw ability is secondary.|To succeed in math you have to be a special kind of person; not just anyone can be successful in it.|People who are successful in math are very different from ordinary people.|With the right amount of effort and dedication, anyone can become a top scholar in math.|Being a top scholar of math requires a special aptitude that just can’t be taught.",1,28,"Black/African-American",NA,"$40,000 to $50,000","Bachelor's Degree",NA,0,"control",4,NA,77,"tournament_first",7.7,0,0,0,0,"No",0,1,2.5
"Man","United States",NA,"American",NA,"48",NA,NA,15.196,1.919,12.673,1.833,15.891,1.47,14.237,1.744,NA,1.533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$12","$0|$1.20|$.25|$12",NA,NA,"$24","$0|$24|$2|$.25",NA,NA,"$0","$24|$0|$2|$.25",NA,NA,"piecerate",60,"Women","Women","Men",4,"No","Women",1,1,1,1,2,2,1,4,"To succeed in math you have to be a special kind of person; not just anyone can be successful in it.|When it comes to math, the most important factors for success are motivation and sustained effort; raw ability is secondary.|People who are successful in math are very different from ordinary people.|If you want to succeed in math, hard work alone just won’t cut it; you need to have an innate gift or talent.|With the right amount of effort and dedication, anyone can become a top scholar in math.|Being a top scholar of math requires a special aptitude that just can’t be taught.",3,38,"East Asian",NA,"$30,000 to $40,000","Bachelor's Degree",NA,0,"control",5,NA,51,"tournament_first",5.1,0,0,0,0,"No",0,1,1.83333333333333
"Woman","United States",NA,"American",NA,"48",NA,NA,15.703,2.16,12.318,1.16,13.601,1.036,13.085,10.945,NA,10.596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$12","$1.20|$0|$.25|$12",NA,NA,"$24","$.25|$0|$2|$24",NA,NA,"$0","$0|$2|$24|$.25",NA,NA,"piecerate",40,"Women","Women","Women",3,"No","Women",2,2,2,1,2,2,2,2,"People who are successful in math are very different from ordinary people.|If you want to succeed in math, hard work alone just won’t cut it; you need to have an innate gift or talent.|When it comes to math, the most important factors for success are motivation and sustained effort; raw ability is secondary.|With the right amount of effort and dedication, anyone can become a top scholar in math.|Being a top scholar of math requires a special aptitude that just can’t be taught.|To succeed in math you have to be a special kind of person; not just anyone can be successful in it.",1,26,"White/Caucasian",NA,"$90,000 to $100,000","Bachelor's Degree",NA,1,"control",4,NA,31,"pr_first",3.1,0,0,0,0,"No",0,2,1.83333333333333
"Woman","United States",NA,"American",NA,"48",NA,NA,17.376,1.855,16.809,15.725,15.561,2.965,15.155,1.575,NA,1.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$12","$1.20|$.25|$12|$0",NA,NA,"$24","$24|$.25|$2|$0",NA,NA,"$0","$24|$2|$.25|$0",NA,NA,"piecerate",50,"Men","Men","Men",2,"No","Women",4,5,6,6,6,4,6,4,"When it comes to math, the most important factors for success are motivation and sustained effort; raw ability is secondary.|With the right amount of effort and dedication, anyone can become a top scholar in math.|Being a top scholar of math requires a special aptitude that just can’t be taught.|People who are successful in math are very different from ordinary people.|If you want to succeed in math, hard work alone just won’t cut it; you need to have an innate gift or talent.|To succeed in math you have to be a special kind of person; not just anyone can be successful in it.",5,55,"White/Caucasian",NA,"$100,000 to $200,00","Bachelor's Degree","no",1,"control",4,NA,78,"pr_first",7.8,0,0,0,0,"No",0,4.5,5.33333333333333
"Woman","United States",NA,"American",NA,"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.975,5.045,6.451,1.649,7.762,7.634,8.265,2.321,7.921,2.161,10.951,5.502,8.309,1.497,9.267,2.347,12.083,1.642,8.542,5.468,7.549,1.338,11.633,1.686,"$12","$.25|$1.20|$0|$12",NA,NA,"$24","$.25|$2|$24|$0",NA,NA,"$0","$24|$.25|$2|$0",NA,NA,"piecerate",80,"Men","Women","Men",1,"No","Women",2,2,3,3,2,2,3,3,"When it comes to math, the most important factors for success are motivation and sustained effort; raw ability is secondary.|People who are successful in math are very different from ordinary people.|If you want to succeed in math, hard work alone just won’t cut it; you need to have an innate gift or talent.|With the right amount of effort and dedication, anyone can become a top scholar in math.|To succeed in math you have to be a special kind of person; not just anyone can be successful in it.|Being a top scholar of math requires a special aptitude that just can’t be taught.",5,26,"White/Caucasian",NA,"$10,000 to $20,000","Bachelor's Degree",NA,1,"pract",57,NA,96,"pr_first",9.6,0,0,0,0,"No",0,2,2.66666666666667
"Woman","United States",NA,"American",NA,"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.614,1.145,6.775,1.209,16.595,1.085,16.68,3.569,13.462,1.161,16.218,1.932,18.595,1.058,20.869,1.468,15.463,3.084,6.935,1.104,13.327,1.277,20.094,1.19,"$1.20","$1.20|$0|$12|$.25","$14","$1.40|$0|$.25|$14","$24","$0|$.25|$24|$2",NA,NA,"$0","$0|$24|$2|$.25",NA,NA,"piecerate",50,"Women","Women","Men",3,"No","Women",2,2,1,1,1,1,1,1,"Being a top scholar of math requires a special aptitude that just can’t be taught.|When it comes to math, the most important factors for success are motivation and sustained effort; raw ability is secondary.|With the right amount of effort and dedication, anyone can become a top scholar in math.|People who are successful in math are very different from ordinary people.|If you want to succeed in math, hard work alone just won’t cut it; you need to have an innate gift or talent.|To succeed in math you have to be a special kind of person; not just anyone can be successful in it.",3,31,"White/Caucasian",NA,"$10,000 to $20,000","Bachelor's Degree",NA,1,"pract",56,NA,56,"tournament_first",5.6,0,1,1,0,"No",0,2,1
"Woman","United States",NA,"American",NA,"48",NA,NA,26.159,2.702,15.397,1.118,22.524,1.678,14.813,1.077,NA,1.281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$1.20","$.25|$1.20|$12|$0","$14","$14|$1.40|$0|$.25","$24","$24|$0|$.25|$2",NA,NA,"$0","$0|$.25|$24|$2",NA,NA,"piecerate",0,"Men","Women","Men",3,"No","Women",4,4,2,3,3,2,3,3,"Being a top scholar of math requires a special aptitude that just can’t be taught.|With the right amount of effort and dedication, anyone can become a top scholar in math.|If you want to succeed in math, hard work alone just won’t cut it; you need to have an innate gift or talent.|To succeed in math you have to be a special kind of person; not just anyone can be successful in it.|When it comes to math, the most important factors for success are motivation and sustained effort; raw ability is secondary.|People who are successful in math are very different from ordinary people.",4,43,"White/Caucasian",NA,"$30,000 to $40,000","Some College",NA,1,"control",4,NA,57,"tournament_first",5.7,0,1,1,0,"No",0,4,2.66666666666667
"Woman","United States",NA,"American",NA,"48",NA,NA,17.411,2.607,15.524,1.211,15.4,1.05,14.874,1.648,NA,1.593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$12","$0|$1.20|$12|$.25",NA,NA,"$24","$.25|$0|$2|$24",NA,NA,"$0","$24|$2|$.25|$0",NA,NA,"piecerate",20,"Women","Women","Men",1,"No","Women",5,5,5,5,5,4,5,3,"If you want to succeed in math, hard work alone just won’t cut it; you need to have an innate gift or talent.|To succeed in math you have to be a special kind of person; not just anyone can be successful in it.|With the right amount of effort and dedication, anyone can become a top scholar in math.|Being a top scholar of math requires a special aptitude that just can’t be taught.|People who are successful in math are very different from ordinary people.|When it comes to math, the most important factors for success are motivation and sustained effort; raw ability is secondary.",5,29,"White/Caucasian",NA,"$20,000 to $30,000","Bachelor's Degree","No",1,"control",5,NA,59,"pr_first",5.9,0,0,0,0,"No",0,5,4.5
"Woman","United States",NA,"American",NA,"48",NA,NA,11.491,1.177,10.677,1.441,10.977,1.211,13.979,1.477,NA,1.426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$12","$12|$1.20|$.25|$0",NA,NA,"$24","$.25|$2|$24|$0",NA,NA,"$0","$24|$2|$.25|$0",NA,NA,"piecerate",30,"Women","Women","Men",2,"No","Women",2,2,7,6,2,3,7,7,"Being a top scholar of math requires a special aptitude that just can’t be taught.|When it comes to math, the most important factors for success are motivation and sustained effort; raw ability is secondary.|To succeed in math you have to be a special kind of person; not just anyone can be successful in it.|If you want to succeed in math, hard work alone just won’t cut it; you need to have an innate gift or talent.|With the right amount of effort and dedication, anyone can become a top scholar in math.|People who are successful in math are very different from ordinary people.",2,34,"White/Caucasian",NA,"$10,000 to $20,000","High School Diploma","no",1,"control",5,NA,43,"tournament_first",4.3,0,0,0,0,"No",0,2,5.33333333333333
